productBase,variantSize,variantColor,variantImage
"WhatsApp Image 2026-01-26 at 18.45.12","","(1)","WhatsApp Image 2026-01-26 at 18.45.12 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.45.12","","(2)","WhatsApp Image 2026-01-26 at 18.45.12 (2).jpeg"
"WhatsApp Image 2026-01-26 at","","18.45.12","WhatsApp Image 2026-01-26 at 18.45.12.jpeg"
"WhatsApp Image 2026-01-26 at 18.45.13","","(1)","WhatsApp Image 2026-01-26 at 18.45.13 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.45.13","","(2)","WhatsApp Image 2026-01-26 at 18.45.13 (2).jpeg"
"WhatsApp Image 2026-01-26 at","","18.45.13","WhatsApp Image 2026-01-26 at 18.45.13.jpeg"
"WhatsApp Image 2026-01-26 at 18.46.08","","(1)","WhatsApp Image 2026-01-26 at 18.46.08 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.46.08","","(2)","WhatsApp Image 2026-01-26 at 18.46.08 (2).jpeg"
"WhatsApp Image 2026-01-26 at 18.46.08","","(3)","WhatsApp Image 2026-01-26 at 18.46.08 (3).jpeg"
"WhatsApp Image 2026-01-26 at 18.46.08","","(4)","WhatsApp Image 2026-01-26 at 18.46.08 (4).jpeg"
"WhatsApp Image 2026-01-26 at","","18.46.08","WhatsApp Image 2026-01-26 at 18.46.08.jpeg"
"WhatsApp Image 2026-01-26 at","","18.46.09","WhatsApp Image 2026-01-26 at 18.46.09.jpeg"
"WhatsApp Image 2026-01-26 at 18.47.47","","(1)","WhatsApp Image 2026-01-26 at 18.47.47 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.47.47","","(2)","WhatsApp Image 2026-01-26 at 18.47.47 (2).jpeg"
"WhatsApp Image 2026-01-26 at 18.47.47","","(3)","WhatsApp Image 2026-01-26 at 18.47.47 (3).jpeg"
"WhatsApp Image 2026-01-26 at","","18.47.47","WhatsApp Image 2026-01-26 at 18.47.47.jpeg"
"WhatsApp Image 2026-01-26 at 18.47.48","","(1)","WhatsApp Image 2026-01-26 at 18.47.48 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.47.48","","(2)","WhatsApp Image 2026-01-26 at 18.47.48 (2).jpeg"
"WhatsApp Image 2026-01-26 at 18.47.48","","(3)","WhatsApp Image 2026-01-26 at 18.47.48 (3).jpeg"
"WhatsApp Image 2026-01-26 at","","18.47.48","WhatsApp Image 2026-01-26 at 18.47.48.jpeg"
"WhatsApp Image 2026-01-26 at","","18.46.49","WhatsApp Image 2026-01-26 at 18.46.49.jpeg"
"WhatsApp Image 2026-01-26 at 18.46.50","","(2)","WhatsApp Image 2026-01-26 at 18.46.50 (2).jpeg"
"WhatsApp Image 2026-01-26 at 18.46.50","","(3)","WhatsApp Image 2026-01-26 at 18.46.50 (3).jpeg"
"WhatsApp Image 2026-01-26 at 18.46.50","","(4)","WhatsApp Image 2026-01-26 at 18.46.50 (4).jpeg"
"WhatsApp Image 2026-01-26 at","","18.46.50","WhatsApp Image 2026-01-26 at 18.46.50.jpeg"
"WhatsApp Image 2026-01-26 at 18.43.41","","(1)","WhatsApp Image 2026-01-26 at 18.43.41 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.43.41","","(2)","WhatsApp Image 2026-01-26 at 18.43.41 (2).jpeg"
"WhatsApp Image 2026-01-26 at 18.43.41","","(3)","WhatsApp Image 2026-01-26 at 18.43.41 (3).jpeg"
"WhatsApp Image 2026-01-26 at 18.43.41","","(4)","WhatsApp Image 2026-01-26 at 18.43.41 (4).jpeg"
"WhatsApp Image 2026-01-26 at","","18.43.41","WhatsApp Image 2026-01-26 at 18.43.41.jpeg"
"WhatsApp Image 2026-01-26 at","","18.43.42","WhatsApp Image 2026-01-26 at 18.43.42.jpeg"
"WhatsApp Image 2026-01-26 at 18.48.59","","(1)","WhatsApp Image 2026-01-26 at 18.48.59 (1).jpeg"
"WhatsApp Image 2026-01-26 at 18.48.59","","(3)","WhatsApp Image 2026-01-26 at 18.48.59 (3).jpeg"
"WhatsApp Image 2026-01-18 at","","15.42.39","WhatsApp Image 2026-01-18 at 15.42.39.jpeg"
"WhatsApp Image 2026-01-20 at","","17.31.03","WhatsApp Image 2026-01-20 at 17.31.03.jpeg"
"WhatsApp Image 2026-01-20 at","","17.28.09","WhatsApp Image 2026-01-20 at 17.28.09.jpeg"
"WhatsApp Image 2026-01-20 at","","17.28.093232","WhatsApp Image 2026-01-20 at 17.28.093232.jpeg"
"WhatsApp Image 2026-01-18 at","","15.42.59","WhatsApp Image 2026-01-18 at 15.42.59.jpeg"
"WhatsApp Image 2026-01-18 at","","15.42.59434343","WhatsApp Image 2026-01-18 at 15.42.59434343.jpeg"
"WhatsApp Image 2026-01-20 at","","17.31.27","WhatsApp Image 2026-01-20 at 17.31.27.jpeg"
"WhatsApp Image 2026-01-18 at","","15.40.43","WhatsApp Image 2026-01-18 at 15.40.43.jpeg"
"WhatsApp Image 2026-01-18","434343","at","WhatsApp Image 2026-01-18 at 434343.jpeg"
"WhatsApp Image 2026-01-18 at","","15.40.08","WhatsApp Image 2026-01-18 at 15.40.08.jpeg"
"WhatsApp Image 2026-01-18 at","","15.37.50","WhatsApp Image 2026-01-18 at 15.37.50.jpeg"
"WhatsApp Image 2026-01-20 at","","17.29.09","WhatsApp Image 2026-01-20 at 17.29.09.jpeg"
