"id","name","price","stock","description","category","mainImageName","variantImages"
1,"Elbise Test","1200",14,"","Elbise","",""
3481,"1003 MİARTE","1779",40,"Nebim Kod: 24Y0021003","Diğer","",""
3482,"1005 MİARTE","1539",40,"Nebim Kod: 24Y0021005","Diğer","",""
3483,"1010 MİARTE","1259",40,"Nebim Kod: 24Y0021010","Diğer","",""
3484,"1022 MİARTE","2219",40,"Nebim Kod: 24Y0021022","Diğer","",""
3485,"1024 MİARTE","999",40,"Nebim Kod: 24Y0021024","Diğer","",""
3486,"1028 MİARTE","1399",40,"Nebim Kod: 24Y0021028","Diğer","",""
3487,"1032 MİARTE","1639",40,"Nebim Kod: 24Y0021032","Diğer","",""
3488,"1033 MİARTE","1929",120,"Nebim Kod: 24Y0021033","Diğer","",""
3489,"1045 MİARTE","1899",40,"Nebim Kod: 24Y0021045","Diğer","",""
3490,"1053 MİARTE","1689",120,"Nebim Kod: 24Y0021053","Diğer","",""
3491,"1054 MİARTE","1689",40,"Nebim Kod: 24Y0021054","Diğer","",""
3492,"1057 MİARTE","1689",40,"Nebim Kod: 24Y0021057","Diğer","",""
3493,"1059 MİARTE","1899",40,"Nebim Kod: 24Y0021059","Diğer","",""
3494,"1060 MİARTE","2149",80,"Nebim Kod: 24Y0021060","Diğer","",""
3495,"1061 MİARTE","2149",80,"Nebim Kod: 24Y0021061","Diğer","",""
3496,"1062 MİARTE","2149",80,"Nebim Kod: 24Y0021062","Diğer","",""
3497,"1065 MİARTE","1499",80,"Nebim Kod: 24Y0021065","Diğer","",""
3498,"1069 MİARTE","1739",40,"Nebim Kod: 24Y0021069","Diğer","",""
3499,"1070 MİARTE","1499",40,"Nebim Kod: 24Y0021070","Diğer","",""
3500,"1072 MİARTE","1999",80,"Nebim Kod: 24Y0021072","Diğer","",""
3501,"1075 MİARTE","2499",40,"Nebim Kod: 24Y0021075","Diğer","",""
3502,"1076 MİARTE","2399",40,"Nebim Kod: 24Y0021076","Diğer","",""
3503,"1092 MİARTE","2159",40,"Nebim Kod: 24Y0021092","Diğer","",""
3504,"1094 MİARTE","1799",40,"Nebim Kod: 24Y0021094","Diğer","",""
3505,"3026 MİARTE","3559",40,"Nebim Kod: 24Y0023026","Diğer","",""
3506,"3041 MİARTE","2599",40,"Nebim Kod: 24Y0023041","Diğer","",""
3507,"31007 MİARTE","2379",20,"Nebim Kod: 24Y00231007","Diğer","",""
3508,"31012 MİARTE","2049",30,"Nebim Kod: 24Y00231012","Diğer","",""
3509,"31013 MİARTE","1889",30,"Nebim Kod: 24Y00231013","Diğer","",""
3510,"31017 MİARTE","2379",20,"Nebim Kod: 24Y00231017","Diğer","",""
